성별,출연 프로그램,시즌,방영 시작 날짜,방영 종료 날짜,시청률,방송편수,OTT 방영 여부(후행적?),출생년도,방영당시 나이,출연자 평균 연령,MBTI,메기여부,커플 성사 여부,직업분류,직업분류코드,외모(Face score),외모(Fun),외모(Smartness),외모(Confidence),외모(Trustworthiness),외모(Attractiveness),외모(Approachability),계산된_동성_출연자_수,계산된_이성_출연자_수,동성 출연자 수 일치 여부,이성 출연자 수 일치 여부,계산된 방영당시 나이,나이 차이,프로그램_시즌,출연자방영후30일평균검색량,출연자방영후14일평균검색량,출연자방영전후30일총검색량,출연자방영전후14일총검색량,프로그램방영후30일평균검색량,프로그램방영후14일평균검색량,프로그램방영전후30일총검색량,프로그램방영전후14일총검색량,방영 기간 (일),방송 종료 m일 후 팔로워 (total followers daily),출연자 댓글수_프로그램 총 댓글 수,pos_result의 평균,neg_result의 평균,출연자 pos_result 1의 비율,출연자 neg_result 0의 비율,1화,2화,3화,4화
여,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1988,34,28,INFJ,FALSE,TRUE,경영 및 행정 관리자,1111,78,78,75,65,52,80,54,5,6,TRUE,TRUE,33,1,솔로지옥1,1736.451613,1148,53830,17220,135870.9677,133506.6667,4235010,2018100,21,1454066,0.042664345,41.18095233,58.81904767,0.357142857,0.642857143,0,0,1,0
남,핑크 라이,,2022-10-05,2022-12-14,,12,TRUE,1985,38,31,,,FALSE,예술가 및 연예인,2459,84,55,99,85,73,99,61,4,5,TRUE,TRUE,37,1,핑크라이,2014.193548,52,62440,780,8374.516129,7896.666667,279610,133660,70,35766.28941,0.060240964,0,0,0,0,0,0,0,0
여,환승연애,1,2021-06-25,2021-10-01,,15,TRUE,1996,26,27.1,ESFP,FALSE,TRUE,,,83,78,55,53,80,87,82,4,5,FALSE,FALSE,25,1,환승연애1,,,,,49429.03226,41480,1590950,671460,98,,0,0,0,0,0,0,0,0,0
여,환승연애,3,2023-12-29,2024-04-19,,20,TRUE,1996,28,29.08333333,ESTP,TRUE,TRUE,,,84,61,52,74,53,85,93,5,6,FALSE,FALSE,27,1,환승연애3,84.19354839,0,2610,0,10079.35484,12714,423370,258450,112,113025,0,0,0,0,0,0,0,0,0
여,펫미픽미,,2022-10-21,2022-11-11,0.8,4,FALSE,1992,31,28.75,,FALSE,TRUE,사무 종사자,4110,80,79,75,57,59,98,57,3,4,TRUE,TRUE,30,1,펫미픽미,,,,,2782.258065,3884,99380,68530,21,94261,0.166666667,88.6490345,11.3509655,1,0,0,0,0,0
남,남의연애,1,2022-07-15,2022-08-26,,11,TRUE,1988,35,29.5,ISFP,FALSE,TRUE,,,82,72,54,84,77,75,79,7,0,FALSE,FALSE,34,1,남의연애1,,,,,15919.03226,21586.66667,570360,386300,42,38542,0.036117382,57.93000989,42.06999011,0.6875,0.3125,0,0,0,0
여,러브캐처,2,2019-08-22,2019-10-10,0.6,8,TRUE,1997,23,26.4,,FALSE,,,,81,75,80,79,53,74,62,4,5,FALSE,FALSE,22,1,러브캐처2,,,,,,,,,49,66150,0.197883598,37.07456926,62.92543074,0.336898396,0.663101604,0,0,0,0
남,환승연애,3,2023-12-29,2024-04-19,,20,TRUE,1997,27,29.08333333,ENFJ,FALSE,FALSE,,,80,72,62,71,74,80,91,5,6,FALSE,FALSE,26,1,환승연애3,187.4193548,272,6020,4290,10079.35484,12714,423370,258450,112,162517,0,0,0,0,0,0,0,0,0
여,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1996,28,28.83333333,INFP,FALSE,TRUE,,,82,77,76,68,50,90,76,5,6,FALSE,FALSE,27,1,솔로지옥3,1570.645161,1916.666667,48690,28750,14327.74194,14086.66667,493650,242740,28,478542,0.000615006,75.93784928,24.06215072,1,0,0,0,1,0
남,러브캐처,2,2019-08-22,2019-10-10,0.6,8,TRUE,1990,30,26.4,,FALSE,,,,82,61,50,90,64,95,71,4,5,FALSE,FALSE,29,1,러브캐처2,,,,,,,,,49,,0.006049607,46.4152316,53.5847684,0.3,0.7,0,0,1,0
여,체인지데이즈,1,2021-05-18,2021-09-14,,17,TRUE,1994,28,29.66666667,,FALSE,TRUE,"예술가 및 연예인, 스포츠 지도사","2452, 3422",81,79,79,68,50,99,70,2,3,TRUE,TRUE,27,1,체인지데이즈1,153.2258065,136,4750,2040,21525.80645,21553.33333,749380,403430,119,46701,1,24.59335327,75.40664673,0,1,0,0,0,0
여,환승연애,1,2021-06-25,2021-10-01,,15,TRUE,1996,26,27.1,ENFP,FALSE,TRUE,소프트웨어 개발자,2511,80,76,51,54,52,84,76,4,5,TRUE,TRUE,25,1,환승연애1,171.2903226,180.6666667,5310,2710,49429.03226,41480,1590950,671460,98,167807,0,0,0,0,0,0,0,1,0
남,남의연애,1,2022-07-15,2022-08-26,,11,TRUE,1988,35,29.5,ISFP,FALSE,FALSE,,,79,60,60,89,55,100,65,7,0,FALSE,FALSE,34,1,남의연애1,,,,,15919.03226,21586.66667,570360,386300,42,53432,0.026190476,78.20806605,21.79193395,0.909090909,0.090909091,0,0,0,0
남,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,1996,27,26.58333333,,TRUE,TRUE,,,77,63,51,55,63,100,59,5,6,FALSE,FALSE,26,1,솔로지옥2,257.7419355,41.33333333,7990,620,13451.29032,12476.66667,474190,214500,28,954866,0.057036949,58.55120217,41.44879783,0.580712788,0.419287212,0,0,0,0
여,소년소녀 연애하다,,2023-10-05,2023-11-30,,10,TRUE,2007,17,18.1,INFP,FALSE,TRUE,,,86,75,73,66,52,88,92,4,5,FALSE,FALSE,16,1,소년소녀연애하다,,,,,6556.774194,8716.666667,235720,154420,56,,0.141335915,53.70310258,46.29689742,0.534246575,0.465753425,0,1,0,0
여,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1998,24,28,ENFP,TRUE,FALSE,,,80,77,76,78,52,79,78,5,6,FALSE,FALSE,23,1,솔로지옥1,1454.516129,468.6666667,45090,7030,135870.9677,133506.6667,4235010,2018100,21,327201,0.026653665,52.2449926,47.7550074,0.506097561,0.493902439,0,0,0,0
남,남의연애,3,2024-06-21,2024-08-02,,14,TRUE,2004,21,26.125,INTP,FALSE,FALSE,,,78,50,58,62,93,98,76,7,0,FALSE,FALSE,20,1,남의연애3,,,,,2064.83871,2756.666667,73560,48140,42,50554,0.042553192,65.89164156,34.10835844,0.642857143,0.357142857,0,0,0,0
남,남의연애,2,2023-06-23,2023-08-04,,14,TRUE,2001,23,29,INFJ,FALSE,FALSE,,,85,64,100,72,74,99,91,7,0,FALSE,FALSE,22,1,남의연애2,,,,,1893.870968,2204.666667,70430,39060,42,121045,0.054347826,72.55199459,27.44800541,0.8,0.2,0,0,1,0
남,러브캐처,2,2019-08-22,2019-10-10,0.6,8,TRUE,1991,29,26.4,,FALSE,,,,79,51,86,72,63,100,74,4,5,FALSE,FALSE,28,1,러브캐처2,,,,,,,,,49,79994,0.134920635,44.34216876,55.65783124,0.419607843,0.580392157,0,0,1,0
남,남의연애,2,2023-06-23,2023-08-04,,14,TRUE,1989,35,29,,FALSE,FALSE,예술가 및 연예인,2452,88,52,98,63,72,95,94,7,0,TRUE,TRUE,34,1,남의연애2,,,,,1893.870968,2204.666667,70430,39060,42,89853,0.02,84.25253471,15.74746529,0.933333333,0.066666667,0,0,0,0
남,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1994,28,28,,FALSE,TRUE,경영 및 행정 관리자,1112,80,51,59,88,70,99,71,5,6,TRUE,TRUE,27,1,솔로지옥1,3707.096774,3318,114920,49770,135870.9677,133506.6667,4235010,2018100,21,341609,0.001741402,33.19602571,66.80397429,0.25,0.75,0,0,0,0
여,하트시그널,4,2023-05-17,2023-08-25,,15,TRUE,1990,34,30.5,ESTP,FALSE,FALSE,기타,9999,86,85,87,68,65,77,82,3,4,TRUE,TRUE,33,1,하트시그널4,4033.548387,3500.666667,125820,53160,16551.93548,18738.66667,605280,337690,100,248843,0.009803922,6.179636344,93.82036366,0,1,0,0,1,1
여,환승연애,2,2022-07-15,2022-10-28,,20,TRUE,1997,26,26.2,ENFP,FALSE,FALSE,,,85,89,67,75,72,87,70,4,5,FALSE,FALSE,25,1,환승연애2,160.9677419,171.3333333,4990,2570,16132.90323,15828,628290,299350,105,134534,0,0,0,0,0,0,1,0,0
여,연애남매,,2024-03-01,2024-06-14,1.6,17,TRUE,1995,30,31.7,ENFJ,TRUE,TRUE,,,76,52,53,75,58,50,76,4,5,FALSE,FALSE,29,1,연애남매,0.322580645,0,10,0,49345.16129,51326.66667,1606430,824550,105,70149,0,0,0,0,0,0,0,0,0
여,체인지데이즈,2,2022-06-02,2022-09-15,,16,TRUE,1998,25,27,INFP,FALSE,TRUE,학생,9999,83,83,75,75,51,90,73,3,4,TRUE,TRUE,24,1,체인지데이즈2,660,694.6666667,20460,10420,6138.709677,7034,221410,124490,105,125955,0.111111111,1.13393683,98.86606317,0,1,0,0,1,0
남,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,1995,28,26.58333333,ISTP,TRUE,FALSE,방송 및 통신 기술 전문가,2642,84,70,61,81,71,100,88,5,6,TRUE,TRUE,27,1,솔로지옥2,6264.516129,6015.333333,194200,90230,13451.29032,12476.66667,474190,214500,28,812516,0.115999501,66.63723367,33.36276633,0.782608696,0.217391304,0,0,0,0
남,남의연애,1,2022-07-15,2022-08-26,,11,TRUE,1997,26,29.5,INFP,FALSE,FALSE,,,78,69,55,69,58,99,95,7,0,FALSE,FALSE,25,1,남의연애1,,,,,15919.03226,21586.66667,570360,386300,42,123078,0.055023923,70.70636459,29.29363541,0.739130435,0.260869565,1,0,0,0
남,체인지데이즈,2,2022-06-02,2022-09-15,,16,TRUE,1996,27,27,ESFJ,FALSE,TRUE,,,79,50,69,67,74,82,85,3,4,FALSE,FALSE,26,1,체인지데이즈2,84.83870968,67.33333333,2630,1010,6138.709677,7034,221410,124490,105,62470,0.111111111,6.159041077,93.84095892,0,1,1,0,0,0
남,환승연애,2,2022-07-15,2022-10-28,,20,TRUE,1996,27,26.2,INTJ,FALSE,TRUE,"서비스 종사자, 기타 전문가","5112, 2649",80,75,94,53,75,84,72,4,5,TRUE,TRUE,26,1,환승연애2,151.9354839,178.6666667,4710,2680,16132.90323,15828,628290,299350,105,391424.3333,0,0,0,0,0,0,0,0,0
남,19/20,,2023-07-11,2023-08-01,,13,TRUE,2004,20,20,ISFP,TRUE,TRUE,,,84,68,78,62,67,99,94,4,5,FALSE,FALSE,19,1,19/20,,,,,10443.54839,8478.666667,338000,136710,21,384981,0.191972077,68.00725611,31.99274389,0.690909091,0.309090909,0,0,0,0
남,남의연애,3,2024-06-21,2024-08-02,,14,TRUE,1998,27,26.125,INFP,TRUE,TRUE,사무 종사자,4110,84,72,93,94,66,86,93,7,0,TRUE,TRUE,26,1,남의연애3,6.774193548,12,210,180,2064.83871,2756.666667,73560,48140,42,97171,0.001722158,98.5006988,1.499301195,1,0,0,1,0,0
남,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,1999,24,26.58333333,,FALSE,FALSE,요리사,4411,78,56,73,52,66,98,60,5,6,TRUE,TRUE,23,1,솔로지옥2,368.0645161,412,11410,6180,13451.29032,12476.66667,474190,214500,28,529611,0.017268446,41.6704441,58.3295559,0.454545455,0.545454545,0,0,0,0
남,남의연애,1,2022-07-15,2022-08-26,,11,TRUE,1992,31,29.5,INFP,TRUE,FALSE,예술가 및 연예인,2453,82,87,80,97,75,99,55,7,0,TRUE,TRUE,30,1,남의연애1,,,,,15919.03226,21586.66667,570360,386300,42,55087,0.230952381,62.05917642,37.94082358,0.608247423,0.391752577,0,0,0,0
남,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1994,28,28,ESTJ,FALSE,TRUE,"스포츠 지도사, 경영 및 행정 관리자","3422, 1111",82,73,57,52,66,99,84,5,6,TRUE,TRUE,27,1,솔로지옥1,2501.290323,1936.666667,77540,29050,135870.9677,133506.6667,4235010,2018100,21,1202677,0.06617327,42.03720393,57.96279607,0.434210526,0.565789474,0,0,0,1
여,좋아하면 울리는 짝짝짝,,2022-12-09,2023-02-03,,13,TRUE,1998,25,26.36363636,,,FALSE,,,83,81,78,71,50,84,61,5,5,FALSE,FALSE,24,1,좋아하면울리는짝짝짝,,,,,2760.645161,3160.666667,95040,55710,56,108246,0.034482759,69.66886818,30.33113182,0.666666667,0.333333333,0,0,0,0
남,남의연애,3,2024-06-21,2024-08-02,,14,TRUE,2003,22,26.125,ENFP,FALSE,FALSE,,,84,75,58,92,73,99,90,7,0,FALSE,FALSE,21,1,남의연애3,,,,,2064.83871,2756.666667,73560,48140,42,46195,0.001858736,95.12936175,4.870638251,1,0,1,0,0,0
남,환승연애,2,2022-07-15,2022-10-28,,20,TRUE,1997,26,26.2,INTP,TRUE,TRUE,,,82,89,65,61,73,97,89,4,5,FALSE,FALSE,25,1,환승연애2,88.06451613,1.333333333,2730,20,16132.90323,15828,628290,299350,105,344265,0,0,0,0,0,0,0,0,0
여,19/20,,2023-07-11,2023-08-01,,13,TRUE,2004,20,20,ENFJ,FALSE,TRUE,,,86,91,78,85,68,89,76,4,5,FALSE,FALSE,19,1,19/20,,,,,10443.54839,8478.666667,338000,136710,21,428829,0.153198653,69.56285598,30.43714402,0.736263736,0.263736264,1,0,0,0
남,핑크 라이,,2022-10-05,2022-12-14,,12,TRUE,1994,29,31,,,TRUE,미용사,3435,83,75,55,85,72,95,92,4,5,TRUE,TRUE,28,1,핑크라이,89.35483871,50.66666667,2770,760,8374.516129,7896.666667,279610,133660,70,21782,0.204081633,69.68327448,30.31672552,0.7,0.3,0,0,0,0
남,19/20,,2023-07-11,2023-08-01,,13,TRUE,2004,20,20,INFJ,FALSE,FALSE,,,79,70,73,79,55,90,62,4,5,FALSE,FALSE,19,1,19/20,,,,,10443.54839,8478.666667,338000,136710,21,71883.09211,0.054131054,54.24539707,45.75460293,0.578947368,0.421052632,0,0,0,0
남,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1994,28,28,ENFJ,FALSE,TRUE,,,80,51,91,66,60,100,64,5,6,FALSE,FALSE,27,1,솔로지옥1,2498.064516,1670,77460,25070,135870.9677,133506.6667,4235010,2018100,21,1011813,0.025685677,43.83752394,56.16247606,0.440677966,0.559322034,0,0,0,0
남,체인지데이즈,2,2022-06-02,2022-09-15,,16,TRUE,1995,28,27,ENFJ,FALSE,FALSE,,,84,78,81,70,54,99,94,3,4,FALSE,FALSE,27,1,체인지데이즈2,415.8064516,521.3333333,12890,7820,6138.709677,7034,221410,124490,105,53288,0.055555556,2.665733919,97.33426608,0,1,0,0,0,0
