성별,시즌,시청률,방송편수,OTT 방영 여부(후행적?),출생년도,방영당시 나이,출연자 평균 연령,MBTI,메기여부,커플 성사 여부,외모(Face score),외모(Fun),외모(Smartness),외모(Confidence),외모(Trustworthiness),외모(Attractiveness),외모(Approachability),계산된_동성_출연자_수,계산된_이성_출연자_수,계산된 방영당시 나이,방영 기간 (일),방송 종료 m일 후 팔로워 (total followers daily),pos_result의 평균,neg_result의 평균,출연자 pos_result 1의 비율,출연자 neg_result 0의 비율,1화,2화,3화,4화,넷플릭스,wavve,엠넷,티빙,쿠팡플레이,JTBC,카카오tv,SBS,디즈니,채널A,E/I,S/N,T/F,J/P,출연자방영후30일평균검색량 대비 프로그램방영후30일평균검색량 비율,출연자방영후14일평균검색량 대비 프로그램방영후14일평균검색량 비율,출연자방영전후30일총검색량 대비 프로그램방영전후30일총검색량 비율,출연자방영전후14일총검색량 대비 프로그램방영전후14일총검색량 비율
남,,,12,True,1985.0,38.0,31.0,,,False,84,55,99,85,73,99,61,4,5,37.0,70,35766.28941176471,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0.24051461808096763,0.006585056986070072,0.22331104037766888,0.005835702528804429
여,3.0,,20,True,1996.0,28.0,29.08333333,ESTP,True,True,84,61,52,74,53,85,93,5,6,27.0,112,113025.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,E,S,T,P,0.008353069192856685,0.0,0.006164820369889222,0.0
여,,0.8,4,False,1992.0,31.0,28.75,,False,True,80,79,75,57,59,98,57,3,4,30.0,21,94261.0,88.6490345001221,11.3509654998779,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,
남,1.0,,11,True,1988.0,35.0,29.5,ISFP,False,True,82,72,54,84,77,75,79,7,0,34.0,42,38542.0,57.9300098877866,42.0699901122134,0.6875,0.3125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,I,S,F,P,,,,
여,2.0,0.6,8,True,1997.0,23.0,26.4,,False,,81,75,80,79,53,74,62,4,5,22.0,49,66150.0,37.0745692575191,62.9254307424809,0.336898395721925,0.663101604278075,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,
남,3.0,,20,True,1997.0,27.0,29.08333333,ENFJ,False,False,80,72,62,71,74,80,91,5,6,26.0,112,162517.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,E,N,F,J,0.018594380080650324,0.021393739185150227,0.014219240853154451,0.016598955310504933
여,1.0,,17,True,1994.0,28.0,29.66666667,,False,True,81,79,79,68,50,99,70,2,3,27.0,119,46701.0,24.5933532714844,75.4066467285156,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0.007118237674209501,0.006309928858645223,0.00633857322052897,0.005056639317849441
여,1.0,,15,True,1996.0,26.0,27.1,ENFP,False,True,80,76,51,54,52,84,76,4,5,25.0,98,167807.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,E,N,F,P,0.0034653788422632638,0.004355512696882031,0.003337628460982432,0.004035981294492598
남,1.0,,11,True,1988.0,35.0,29.5,ISFP,False,False,79,60,60,89,55,100,65,7,0,34.0,42,53432.0,78.2080660489473,21.7919339510528,0.909090909090909,0.0909090909090909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,I,S,F,P,,,,
남,3.0,,14,True,2004.0,21.0,26.125,INTP,False,False,78,50,58,62,93,98,76,7,0,20.0,42,50554.0,65.8916415580149,34.1083584419851,0.642857142857143,0.357142857142857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,I,N,T,P,,,,
